job_id,title,company,priority,subtrack,location,status,reason,applied_at
010726500581,Senior Gen AI Engineer,Trinamix Systems,P1,GENAI_APP,Pune,EXTERNAL,external company application,2026-07-05T03:11:08.915939+00:00
290626009074,Gen AI Engineer,Tata Consultancy Services,P1,GENAI_APP,"Pune, Bengaluru, New Delhi",MANUAL_REVIEW,What is your expected annual CTC in INR ? | Are you available for virtual interview on 1st July 2026 | Total Years of Experience,2026-07-05T03:11:14.297691+00:00
100626023410,Lead GenAI Developer,Experis,P1,GENAI_APP,Pune,MANUAL_REVIEW,"Please mention your last working day? | How many years of experience do you have in LLM? | Please mention your PAN Number? | Please mention your DOB(DD/MM/YYYY)? | Are you ready to work 2 alternate Saturdays  every month? | Are you currently residing in Pune, Maharashtra or willing to relocate to Pune, Maharashtra?",2026-07-05T03:11:19.744491+00:00
010726018320,Artificial Intelligence Developer,MAHLE Holding India Pvt Ltd,P1,GENAI_APP,Pune(Chinchwad),MANUAL_REVIEW,How many years of experience do you have in intelligent AI assistants?,2026-07-05T03:11:25.107385+00:00
010726000142,Lead AI Engineer,Amantya Technologies,P1,GENAI_APP,Hybrid - Pune,MANUAL_REVIEW,Are you currently residing in Pune or willing to relocate to Pune?,2026-07-05T03:11:30.493963+00:00
290626015208,Generative AI Engineer,Yash Technologies,P1,GENAI_APP,Pune,MANUAL_REVIEW,Are you currently living in or ready to relocate to Pune ? | How many years of experience do you have in LLM ? | What is your expected annual CTC in INR ?,2026-07-05T03:11:35.846984+00:00
030726022255,Artificial Intelligence Engineer,Skyleaf Consultants,P1,GENAI_APP,"Pune(Chakan), Mumbai (All Areas)(Worli), Bengaluru(Whitefield)",MANUAL_REVIEW,How many years of experience do you have in Artificial Intelligence?,2026-07-05T03:11:41.213662+00:00
030726000068,AI Engineer,Sonata Software,P1,GENAI_APP,Hybrid - Pune,MANUAL_REVIEW,"How many years of experience do you have in .Net? | How many years of experience do you have in Typescript? | How many years of experience do you have in AI Automation? | How many years of experience do you have in Aiml? | Are you currently residing in Pune, Maharashtra or willing to relocate to Pune, Maharashtra?",2026-07-05T03:11:46.606673+00:00
300626907823,Custom Software Engineer,Accenture,P1,GENAI_APP,Pune,EXTERNAL,external company application,2026-07-05T03:11:51.763830+00:00
020726500194,MLOps Engineer,Fractal Analytics,P1,AI_PLATFORM,Pune,EXTERNAL,external company application,2026-07-05T03:11:56.937259+00:00
020726017667,Senior Engineer - GenAI,Iris Software,P1,GENAI_APP,"Hybrid - Pune, Delhi / NCR",MANUAL_REVIEW,Relevant exp in Generative AI? | Relevant Exp in Python?,2026-07-05T03:12:02.425380+00:00
